"","timeline","Sr.est","Sr.est.5pct","Sr.est.95pct"
"64",-116.759078353258,0.706094466262061,0.705786621307753,0.706510786929318
"65",-111.782601072168,0.706096910812751,0.705789154240895,0.706491177046574
"66",-106.806123791078,0.706111404500233,0.70583920302668,0.706511259585299
"67",-101.829646509987,0.706148961561816,0.705829085889576,0.706504695391172
"68",-96.8531692288973,0.706150638627673,0.705850721656138,0.706484638510444
"69",-91.8766919478071,0.70617204731335,0.705852213388258,0.706477720448509
"70",-86.900214666717,0.706163028084962,0.705854288589662,0.706456274842197
"71",-81.9237373856269,0.706138015428757,0.705874941185702,0.706456057091443
"72",-76.9472601045367,0.706151327507135,0.705865101525159,0.70644186468039
"73",-71.9707828234466,0.706163363080853,0.705835426539764,0.706418177733656
"74",-66.9943055423564,0.706164943069917,0.705845291179832,0.706435930778287
"75",-62.0178282612662,0.706153460515989,0.705815927857083,0.70643146389857
"76",-57.0413509801762,0.706141204277082,0.705818566057915,0.706478914030886
"77",-52.064873699086,0.706183769605756,0.705815482459997,0.706539044206986
"78",-47.0883964179958,0.706189860884354,0.705759065770082,0.706745029443831
"79",-42.1119191369057,0.706212361920284,0.705733916382489,0.707034467482512
"80",-37.1354418558155,0.706255296021425,0.705894287819624,0.707411842420314
"81",-32.1589645747254,0.707384828358885,0.70618826592463,0.707774847895928
"82",-27.1824872936353,0.70741571281526,0.706329335973191,0.707851156151309
"83",-22.2060100125451,0.707445658941803,0.706735740391527,0.708005481861548
"84",-17.2295327314549,0.707444091954474,0.707047597554137,0.707943101889201
"85",-12.2530554503647,0.707446611589654,0.707126271423153,0.707865287108145
"86",-7.27657816927467,0.707439319762105,0.707133405760854,0.707844540133153
"87",-2.30010088818449,0.707452696508948,0.707124654742277,0.70777748804853
"88",2.67637639290569,0.707430148232561,0.707122867516684,0.707760213318494
"89",7.65285367399576,0.707398521228939,0.707076218796061,0.707705728033086
"90",12.6293309550859,0.707365776245583,0.707087311085574,0.707720495670047
