"","log.a","log.b","log.c"
"37",-4.2079599447446,-4.40425810429409,-5.92256098568989
"38",-3.96705498989971,-4.17611142720586,-5.12928648496802
"39",-4.0287633446275,-4.1107022154255,-5.50009997441819
"40",-3.71297476140281,-3.730934518477,-5.52828734627017
"41",-3.93941031987278,-4.02991150867739,-5.53108415215937
"42",-3.68068228679621,-3.87646578459682,-5.5609150054693
"43",-3.94513540720202,-4.08280685474069,-5.45207087516336
"44",-3.48557039270043,-3.6306943512698,-5.54106391599316
"45",-3.6973980981557,-3.92971814619429,-6.24747558469899
"46",-3.58207617747687,-3.67791099685426,-5.55707258683732
"47",-4.19628918459282,-4.32442693536213,-5.43586319290042
"48",-3.85078683932499,-4.07547228012862,-5.61300035834421
"49",-4.59177935454276,-5.269643407813,-5.65383697340943
"50",-4.2336420836391,-4.38373086395197,-5.57009573315938
"51",-4.09994921379341,-4.49369099102616,-5.46516997386853
"52",-3.90375244815339,-3.90380324445159,-4.9506344772898
"53",-3.59804178708937,-3.68392561238936,-5.70201856924921
"54",-3.59894105212553,-3.79001634742996,-5.22256124249322
"55",-3.85305765964852,-3.99528357249003,-5.79007262461007
"56",-3.94679375162665,-4.09217235628215,-5.72447457263789
"57",-4.06383407945326,-4.42333426087081,-5.67183766549076
"58",-4.20631910023213,-4.41618239869398,-5.81438496915948
"59",-3.62932897140328,-3.73380825947058,-5.31851610759574
"60",-4.24152955622477,-4.80110664077531,-5.63187508855707
"61",-4.15790232303364,-4.5474468942754,-5.45171803211248
"62",-4.14963811911496,-4.34497222906145,-5.62715073086617
"63",-4.08742733117929,-4.66265331570199,-5.68115413808851
"64",-4.13409896992034,-4.13609992397829,-5.85077060741803
"65",-3.79302496451622,-4.14252116182483,-5.96141976292996
"66",-3.92765600782977,-4.17709740638549,-5.51677170057491
"67",-4.28771047522826,-4.45767375285985,-5.41864072425799
"68",-4.0232598185443,-4.34607832268708,-5.5915591224835
"69",-4.05061763772911,-4.16308832169799,-5.82809635212365
"70",-3.7853062605444,-3.84093748014177,-5.44397469597238
"71",-4.08355527365625,-4.16743428342239,-5.42297151967717
"72",-4.39805297022537,-4.62499299695609,-5.93552278753238
"73",-4.04113447194499,-4.3520437674613,-5.27674286972271
"74",-3.78259892437171,-3.89755138285678,-5.40061451795099
"75",-3.87795847231691,-4.15248445692008,-5.53575412913039
"76",-3.94476805994481,-4.09323958143985,-5.46832478388666
"77",-4.41676648921673,-4.6460148727598,-5.59778330412887
"78",-3.93303428078362,-4.12951713425979,-5.86479962937605
"79",-3.6292347481654,-3.82376436488668,-5.69655889388416
"80",-4.06283623695545,-4.45858540869419,-5.91285654344457
"81",-4.11531814751254,-4.54286874781414,-5.14217649941911
"82",-4.53765749388769,-4.90878130379641,-5.96891740674002
"83",-4.0753622396605,-4.10134175076981,-5.42159361849909
"84",-3.87294910065008,-3.88734871026647,-5.03941611375635
"85",-3.62214088392258,-3.86137974744516,-4.69820600866291
"86",-3.90954950116527,-4.08092211100787,-5.74077799644636
"87",-4.29354438797796,-4.4401021717497,-5.56671462713545
"88",-3.97085567128348,-4.2265559153759,-5.46494931238552
"89",-4.15183491484147,-4.43131427506028,-5.46382215080236
"90",-3.86387707413539,-3.92748581497567,-5.51804728451737
"91",-4.13714884911173,-4.17866810803355,-5.59428357245766
"92",-4.32157898506951,-4.50143087090984,-5.73707375321791
"93",-4.19788390554762,-4.36858104567603,-5.28352537965486
"94",-4.32650053880445,-4.76313580182401,-5.50763425009052
"95",-4.06218040158214,-4.22077175843814,-5.60068266178709
"96",-3.8936488533503,-4.00948822769041,-5.51915647284846
"97",-3.96751850880509,-3.98979819698491,-5.59115657836799
"98",-3.93236709447084,-4.09688354261003,-5.4754789746897
"99",-3.89385495982165,-4.18085938048742,-5.54752983184199
"100",-3.59729139195073,-3.62063399177555,-4.5093385821143
"101",-4.02810791711871,-4.28795023197063,-5.37329042611564
"102",-4.1728535836218,-4.3916815737232,-5.66678294256142
"103",-3.86857406454291,-3.90728490617763,-5.56887217805141
"104",-3.56570798054791,-3.59354255516042,-4.95507020153761
"105",-4.08836031584867,-4.19323771574534,-5.58165106428285
"106",-4.22857460485679,-4.52223642490028,-5.69188780591741
"107",-3.79678154038651,-4.10481627707888,-5.18805744525966
"108",-4.18609235730852,-4.44179563045777,-5.65211491278251
"109",-4.19446046107556,-4.38773206688076,-5.29672006335901
"110",-4.22776903146609,-4.23509039844679,-5.47549625988828
"111",-3.94670857707179,-4.271533270258,-5.72043702946502
"112",-4.183878338057,-4.70086032570476,-5.35658845802309
"113",-3.93558450819428,-4.27266005495316,-5.68710098669991
"114",-3.5335946992624,-3.91354361344325,-4.89456932406796
"115",-4.3040544835014,-4.46672856082461,-5.65912985317807
"116",-4.14045583450004,-4.25455330157716,-5.68979780081789
"117",-3.61168383803944,-3.8185681918434,-5.44750567594904
"118",-4.38569946454984,-4.43558132404934,-5.70237274718701
"119",-4.24637506340432,-4.54028101473765,-5.9050013821413
"120",-4.12103396388998,-4.94693887194878,-5.76763948923827
"121",-3.4224743490225,-3.45870069515146,-5.08543442050887
"122",-4.43781503941044,-4.45714952027991,-5.46060556207805
"123",-3.82703320219577,-3.98557863326771,-5.58944233663986
"124",-4.31836090742437,-4.62644713249382,-5.65635505241135
"125",-4.16806434462682,-4.39068246664504,-5.79638175259229
"126",-3.88963710294806,-3.89000708388261,-5.52099603981087
"127",-3.78957260228354,-3.85744122141628,-5.69028436859666
"128",-4.25617998042364,-4.26116513147811,-5.2959921298694
"129",-4.1403459013249,-4.49697803745241,-5.6687802627158
"130",-3.55861776803296,-3.98979323453775,-5.40558204326593
"131",-4.01975666682708,-4.16456272662073,-5.81026734601856
"132",-3.7566114558972,-3.96200962694008,-5.08020668313024
"133",-3.90469757954632,-4.04841189544819,-5.61799497077246
"134",-4.06849765651876,-4.20992824109936,-5.30512171436353
"135",-3.53638743947511,-3.87169949218757,-5.50337982882518
"136",-4.4280212508902,-4.4810731602348,-5.83010671684561
"137",-4.08753746326967,-4.45758480010805,-5.52695075775366
"138",-4.19714751386683,-4.31781462078607,-5.66268821698142
"139",-3.84939127826544,-3.86063832367736,-5.5808873922679
"140",-3.73638942012083,-3.81222758045019,-5.6397325028303
"141",-4.04489078082491,-4.07574829050209,-5.43660983159533
"142",-4.23521548672171,-4.46918279541691,-5.92447137040516
"143",-4.37343520117205,-4.94761940663171,-5.6995957018846
"144",-4.02518893516894,-4.10137034129431,-5.46528260805805
"145",-3.80968929217077,-3.87306831549704,-5.29337299953496
"146",-3.98870093520106,-4.05231579650934,-5.80153195444321
"147",-3.9353040766988,-4.24425846068684,-6.02326879953935
"148",-4.11166432016156,-4.3326968373899,-5.50412445301505
"149",-3.89284115785406,-3.89954356767705,-5.51247880112854
"150",-4.17956807966394,-4.91810905583291,-5.85329464770478
"151",-4.07226197449895,-4.10462947425227,-5.74418372914268
"152",-3.71564742991164,-3.89325195436562,-5.56966491591619
"153",-3.74230565723558,-3.77122927885536,-5.52958089893872
"154",-4.20817307524467,-4.34231905329985,-5.20751848895722
"155",-4.30985737609105,-4.43589036773798,-5.7196548658935
"156",-4.3646990854433,-4.40728392200815,-5.98415313804419
"157",-4.44144636385261,-4.77538956053733,-5.69831838007372
"158",-3.75711750249642,-4.00897490657974,-5.53399928296223
"159",-3.70672787365158,-3.71998764094627,-5.36564365073469
"160",-3.85227089408941,-3.90956302393747,-5.62440550932068
"161",-3.6143424052048,-4.14471362615265,-5.80053833622992
"162",-4.22143049057775,-4.35259113589236,-6.13700033683666
"163",-3.65862552080233,-3.75965272380216,-5.22906010875491
"164",-3.82585135413448,-4.47608385502868,-5.48962358138453
"165",-3.90572574602477,-3.93733870321024,-5.72022640178286
"166",-4.22486546934516,-4.49012993827804,-5.61194525236138
"167",-3.76203127023492,-3.91672785951481,-5.49343960890254
"168",-4.23567573015846,-4.5002319748355,-6.23128292708829
"169",-4.37215699824478,-4.71595161860653,-5.4907121408768
"170",-4.44965585747432,-5.04574076909167,-5.71135204612124
"171",-3.94287586934576,-4.10113206447928,-5.75713917393475
"172",-3.92710410136202,-3.97342444933063,-5.80725556374109
"173",-3.83597124087999,-3.91611424109206,-5.79687777844502
"174",-3.95115883493395,-4.20501727324889,-6.20398406676571
"175",-4.2159111349053,-4.25125142016373,-5.92129891686748
"176",-3.89160286343775,-3.98488358451038,-5.7738548724531
"177",-4.17902277712705,-4.37968657450906,-5.46067926882824
"178",-4.32526700094541,-4.60337284027286,-5.76112241540722
"179",-3.81257036814996,-3.81841726182274,-5.41639221571847
"180",-3.4619804377765,-3.6053513355512,-5.58995211616456
"181",-3.72113408705015,-3.8117533060024,-5.69755016097769
"182",-3.84333935375955,-3.92539181062701,-5.7521798361652
"183",-3.93717361365264,-3.93902767418658,-5.8032215192765
"184",-3.77982125580868,-4.03819078502071,-5.62109942621552
"185",-3.39464325183151,-3.41699097414716,-5.24041854674635
