Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9),Column1
126,18:31:16:374,4.33E-05,-1.16E-06,5.23E-05,-6.50E-05,-2.16E-05,-0.000127581,-0.000275928,3.298926775,5.905605075,12.7724812,
127,18:31:16:901,3.83E-05,1.70E-06,-9.33E-06,8.41E-05,-5.07E-05,-5.10E-06,-0.000246785,0.601620122,0.100602642,4.86867579,
128,18:31:17:427,3.28E-05,-1.52E-05,2.31E-05,0.000101484,-5.80E-05,-3.00E-06,-0.000202951,0.617255152,0.051683724,3.501595825,
129,18:31:17:954,6.86E-05,-4.21E-05,-2.07E-05,-3.96E-05,-0.000125743,-7.99E-05,-0.000231621,1.338445258,0.635417278,1.842026205,
130,18:31:18:480,4.61E-05,5.75E-06,2.31E-05,4.08E-05,7.72E-05,4.38E-05,-0.000153664,,0.567159621,-1.991721507,
131,18:31:19:008,-5.02E-05,-4.14E-05,0.000102954,3.00E-06,4.43E-06,7.23E-05,-0.000160773,,16.30371692,-36.2657642,
132,18:31:19:535,0.000108816,2.12E-05,8.02E-05,9.60E-05,1.36E-05,-1.21E-05,0.000326296,,-0.891819717,24.02535944,
133,18:31:20:062,5.75E-05,-2.85E-05,-3.40E-06,5.77E-05,9.59E-06,-2.17E-05,-0.000337528,,-2.261496908,-35.18243216,
134,18:31:20:588,2.27E-05,8.69E-05,4.70E-05,-6.29E-05,-3.78E-05,1.50E-05,-0.000243231,-0.550537328,-0.397058325,6.436754768,
135,18:31:21:115,9.15E-05,8.58E-05,3.47E-05,1.04E-05,7.95E-06,-4.58E-05,-0.000274744,,-5.75630743,-34.55158671,
136,18:31:21:641,7.69E-05,0.000122428,0.000142989,-1.03E-05,2.32E-05,-5.30E-05,-0.000236597,,-2.285412064,-10.19872096,
137,18:31:22:169,2.17E-05,-9.26E-06,-3.16E-05,1.42E-05,9.43E-05,1.78E-05,-0.000193236,,0.188903823,-2.049677077,
138,18:31:22:694,3.00E-05,-0.000139971,-1.19E-05,-6.31E-05,-0.000115188,-9.91E-05,-0.000139447,,0.860029913,1.21059479,
139,18:31:23:223,-2.09E-05,2.38E-05,2.81E-05,5.13E-05,-8.00E-06,-1.90E-07,-0.000281378,0.639679337,0.023811252,35.17769251,
140,18:31:23:749,-7.93E-05,-4.81E-05,0.000111719,6.68E-05,-2.47E-05,-5.58E-05,-0.000229963,,2.26440458,9.328118141,
141,18:31:24:276,0.000108342,0.000115999,-9.33E-06,3.27E-05,-1.13E-05,2.86E-05,-0.000225935,-0.017570483,-2.53152775,20.02497625,
142,18:31:24:802,-3.34E-05,0.00015434,0.000146306,4.63E-05,-5.98E-05,-2.54E-05,-0.000252235,0.571407255,0.425097471,4.215442247,
143,18:31:25:328,4.66E-05,-5.21E-06,5.39E-05,-1.79E-05,-7.60E-05,-8.08E-05,-0.000234464,1.722091782,1.063327651,3.08425424,
144,18:31:25:855,2.62E-05,6.74E-05,6.77E-05,2.06E-05,4.90E-06,-2.45E-05,-0.000274033,,-4.997852139,-55.89856289,
145,18:31:26:383,1.51E-05,-6.84E-07,-5.91E-05,-3.43E-05,-6.12E-06,-6.73E-05,-0.000287064,,10.98894184,46.88869099,
