Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9),Column1
30,15:00:18:805,-9.57E-06,5.08E-05,-2.11E-05,-6.89E-06,-0.000130427,-0.000111809,-0.000621419,1.033827076,0.857256207,4.764491545,
31,15:00:19:331,-7.68E-06,2.41E-05,2.46E-05,9.61E-05,-1.94E-05,-8.35E-05,-0.000617388,1.931048056,4.296255107,31.75857628,
32,15:00:19:858,-3.42E-06,-1.35E-05,0.000108262,-6.35E-05,-7.34E-05,-5.87E-05,-0.000575176,,0.800103407,7.835126525,
33,15:00:20:384,-1.31E-05,-2.14E-05,-3.98E-05,-0.000111311,-1.38E-05,-5.55E-05,-0.000606005,,4.016607223,43.88727847,
34,15:00:20:911,5.76E-05,1.94E-05,7.27E-05,0.000106345,-0.000200814,5.10E-06,-0.000698011,0.085106711,-0.02538285,3.475906067,
35,15:00:21:437,6.92E-05,4.06E-05,1.99E-05,8.93E-09,-3.16E-05,-4.02E-06,-0.000715084,0.0453129,0.127108415,22.59905981,
36,15:00:21:965,8.65E-06,-8.97E-06,2.18E-05,-0.000106554,-5.42E-05,-0.000127474,-0.000673351,,2.353270152,12.43058891,
37,15:00:22:492,-1.71E-05,2.96E-05,-1.16E-05,-2.97E-05,-0.000121042,-1.85E-05,-0.000632802,0.120592883,0.152997049,5.227957539,
38,15:00:23:018,-1.34E-05,-3.87E-05,-9.88E-05,3.12E-05,3.66E-05,-8.00E-05,-0.000695166,,-2.183448406,-18.9703336,
39,15:00:23:545,1.72E-05,-3.28E-05,-1.90E-06,-9.23E-05,-0.000171487,-4.61E-05,-0.000632327,0.268087736,0.268881344,3.687321848,
40,15:00:24:072,-4.34E-05,-1.37E-05,-5.59E-09,-2.57E-05,-2.54E-06,-4.80E-05,-0.000588694,,,,
41,15:00:24:598,-4.67E-05,1.72E-05,6.15E-06,-6.18E-06,-6.40E-05,-2.32E-05,-0.000706073,0.242649136,0.362292758,11.02824269,
42,15:00:25:125,1.50E-05,5.08E-05,3.55E-06,-4.88E-05,-0.00018486,-3.14E-05,-0.000668845,0.189638739,0.169745287,3.618113224,
43,15:00:25:651,1.60E-05,6.03E-06,2.34E-05,4.93E-05,4.13E-05,-6.13E-06,-0.000654618,,-0.148201719,-15.83560657,
44,15:00:26:179,9.01E-05,5.39E-05,-1.42E-05,-4.95E-05,-0.000138639,-0.000138696,-0.000644895,1.158754743,1.000409911,4.651607706,
45,15:00:26:704,-3.25E-05,-2.78E-06,-2.70E-05,0.000145124,-9.10E-05,-9.12E-05,-0.000746619,1.693635147,1.002490999,8.203868602,
46,15:00:27:232,-9.15E-05,4.27E-05,-4.51E-06,1.19E-05,-3.25E-06,1.30E-05,-0.000629245,-0.577033292,-4.016466506,,
47,15:00:27:759,4.94E-05,-1.18E-05,-4.74E-05,-2.95E-05,-0.000133947,-9.29E-05,-0.000740692,0.812518484,0.693347386,5.52975274,
48,15:00:28:286,-3.56E-05,-1.92E-05,0.000117739,-1.78E-05,-2.11E-05,-5.71E-05,-0.00070631,,2.708336194,33.50199306,
49,15:00:28:812,1.36E-05,3.41E-05,3.06E-05,-6.16E-05,-0.00015999,-0.000135657,-0.000765114,0.970706339,0.847905951,4.782249041,
50,15:00:29:338,-3.13E-05,9.37E-05,-1.99E-05,-3.23E-05,-8.80E-05,-0.0001069,-0.000624028,0.981220232,1.215350984,7.094618899,
51,15:00:29:865,2.97E-06,-2.42E-05,-4.08E-05,-2.07E-05,-0.000114003,-6.01E-05,-0.000789061,,0.527517211,6.921415508,
52,15:00:30:391,-2.33E-05,3.32E-05,0.000124373,2.50E-05,-6.52E-05,-0.000116018,-0.000750887,1.284017027,1.779487881,11.51714734,
53,15:00:30:917,-2.90E-05,-2.97E-05,-7.16E-07,-2.64E-05,-8.58E-05,-7.53E-06,-0.000709156,,0.087707663,8.26078161,
54,15:00:31:444,-9.67E-05,-3.11E-05,-4.95E-05,-1.64E-05,-0.000126673,-8.56E-05,-0.00075231,,0.675941724,5.938990499,
55,15:00:31:972,2.85E-05,4.91E-05,6.82E-05,-0.000109408,-9.83E-05,-6.83E-06,-0.000634462,-0.177078361,0.069472357,6.45551674,
56,15:00:32:498,-1.71E-05,0.000146055,-1.73E-05,-7.90E-05,0.000970141,0.000648099,0.008296224,,0.668046252,8.551564389,
57,15:00:33:025,3.47E-05,-1.83E-06,0.000385578,1.10E-05,0.006472437,0.004775916,0.055438941,0.728769916,0.737885314,8.565388699,
58,15:00:33:552,1.98E-05,-7.30E-06,0.001508346,4.93E-05,0.026513504,0.019186672,0.229413399,0.710992965,0.723656621,8.652700259,
59,15:00:34:078,3.33E-05,-3.37E-05,0.003676286,0.000196038,0.067984348,0.049219306,0.590720175,0.709280269,0.723979966,8.689061413,
60,15:00:34:605,-5.17E-05,-3.35E-05,0.005310836,0.000283835,0.100213965,0.072687546,0.874712933,0.709085746,0.725323521,8.728453507,
61,15:00:35:131,1.31E-06,2.56E-05,0.006260328,0.000358076,0.116437841,0.084611259,1.01726343,0.710283069,0.726664615,8.736536334,
62,15:00:35:657,-2.47E-05,3.72E-05,0.006378603,0.000368071,0.120076846,0.087149878,1.048155166,0.709783795,0.725784201,8.729036471,
63,15:00:36:184,-2.87E-05,-3.11E-05,0.006562932,0.000328094,0.119577873,0.086860426,1.043964888,0.710127757,0.726392127,8.730418591,
64,15:00:36:712,3.82E-05,2.46E-05,0.006092202,0.000275269,0.113093667,0.082331574,0.988828176,0.71155314,0.727994562,8.743444312,
65,15:00:37:237,6.04E-07,4.58E-05,0.006003164,0.000294543,0.115363492,0.083876416,1.008025968,0.710925688,0.72706204,8.737824668,
66,15:00:37:765,-1.86E-05,-9.35E-05,0.006685044,0.000176291,0.12503674,0.091037714,1.093144785,0.711536939,0.728087713,8.742588662,
67,15:00:38:291,-2.73E-05,-0.000104213,0.006993718,0.000462547,0.131689756,0.095414959,1.148549775,0.708078983,0.724543515,8.721633373,
